customer_id,age,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,support_tickets,usage_hours,last_payment_days_ago,is_autopay,discount_used,churn
CUST_39,61,5,28.37,5900.75,Month-to-month,Credit Card,No,3,85.99,13,1,0,0
CUST_40,69,3,58.59,3031.74,Month-to-month,Credit Card,Fiber Optic,0,5.94,40,1,1,1
CUST_41,20,65,57.39,5788.8,Two year,Bank Transfer,No,1,9.79,11,0,0,0
CUST_42,54,4,108.63,5440.34,Month-to-month,Bank Transfer,Fiber Optic,2,24.65,24,1,1,1
CUST_43,68,64,35.14,5674.71,One year,Credit Card,No,1,88.88,19,0,1,0
CUST_44,24,10,35.19,3964.92,Month-to-month,Bank Transfer,DSL,7,33.96,23,1,0,1
CUST_45,38,21,52.86,3125.21,Month-to-month,Cash,Fiber Optic,5,19.99,31,1,1,0
CUST_46,26,46,25.45,1854.45,Month-to-month,UPI,DSL,7,71.84,37,1,1,1
CUST_47,56,27,38.25,6614.55,Month-to-month,UPI,Fiber Optic,3,32.59,37,1,0,0
CUST_48,35,66,116.52,4905.97,Two year,UPI,Fiber Optic,4,34.0,3,0,0,0
CUST_49,21,41,62.82,3610.38,Month-to-month,Credit Card,Fiber Optic,7,74.16,34,0,0,1
CUST_50,42,13,83.2,7557.57,One year,Bank Transfer,Fiber Optic,5,25.91,29,0,0,1
CUST_51,31,9,92.61,477.93,One year,UPI,DSL,4,89.78,3,1,1,0
CUST_52,67,36,56.7,6816.36,One year,Cash,Fiber Optic,7,56.58,15,1,0,0
CUST_53,26,58,34.72,7980.9,Month-to-month,Cash,Fiber Optic,6,54.25,7,0,1,0
CUST_54,43,54,40.66,7106.84,Month-to-month,Cash,DSL,2,27.21,3,1,0,0
CUST_55,19,12,51.33,6502.45,Month-to-month,Bank Transfer,No,3,83.67,43,0,0,1
CUST_56,37,14,83.61,3057.02,Month-to-month,UPI,No,0,57.7,16,1,0,1
CUST_57,45,34,59.83,1927.38,One year,Cash,No,0,16.4,34,1,0,0
CUST_58,64,53,20.68,5905.32,Month-to-month,Bank Transfer,Fiber Optic,4,21.42,20,1,0,0
CUST_59,24,20,72.34,2506.15,One year,Cash,DSL,5,47.36,44,0,0,1
CUST_60,61,16,112.15,1490.71,Month-to-month,UPI,No,6,78.18,39,1,0,1
CUST_61,25,70,101.21,6313.55,Two year,UPI,Fiber Optic,3,93.99,33,0,1,0
CUST_62,64,56,102.52,2569.09,Month-to-month,UPI,DSL,3,66.69,14,0,0,0
CUST_63,52,58,99.51,7324.09,Month-to-month,UPI,Fiber Optic,2,51.11,42,1,1,0
CUST_64,31,4,52.37,6741.0,Two year,UPI,DSL,5,25.82,35,1,1,1
CUST_65,34,4,96.52,6796.36,Month-to-month,Cash,Fiber Optic,0,67.61,11,0,0,1
CUST_66,53,20,34.32,6195.4,Two year,UPI,DSL,2,98.24,20,1,0,0
CUST_67,67,10,85.77,7058.96,Month-to-month,Cash,Fiber Optic,7,48.15,30,1,0,1
CUST_68,57,24,84.16,6465.4,Month-to-month,UPI,Fiber Optic,1,17.05,28,1,0,1
CUST_69,21,26,22.56,4859.84,One year,Cash,Fiber Optic,3,11.23,15,1,0,0
CUST_70,19,37,98.8,2437.0,Two year,UPI,DSL,0,27.66,38,0,1,0
CUST_71,23,54,110.32,7116.85,Month-to-month,Cash,Fiber Optic,2,57.37,13,0,0,1
CUST_72,59,21,46.74,6740.77,Two year,UPI,Fiber Optic,4,94.73,35,1,1,1
CUST_73,21,38,101.24,3835.75,One year,Bank Transfer,DSL,1,30.62,24,0,0,0
CUST_74,46,46,28.24,408.72,Two year,Cash,No,2,31.23,1,1,0,0
CUST_75,35,4,80.0,5144.5,Month-to-month,Bank Transfer,Fiber Optic,4,48.64,42,0,1,1
CUST_76,43,60,68.56,499.72,Month-to-month,Cash,No,0,91.94,24,1,0,0
CUST_77,61,57,74.59,7417.61,Two year,Cash,DSL,0,42.49,27,1,1,1
CUST_78,51,45,112.62,7696.89,Two year,Cash,DSL,1,23.1,18,1,0,0
CUST_79,27,20,107.13,1596.97,Month-to-month,Credit Card,DSL,4,17.15,26,1,1,1
CUST_80,53,17,98.51,5443.48,Month-to-month,UPI,Fiber Optic,3,46.24,29,0,1,0
CUST_81,31,71,47.37,828.93,Month-to-month,Bank Transfer,DSL,6,80.27,8,0,0,1
CUST_82,48,4,111.18,5863.18,One year,Bank Transfer,Fiber Optic,6,29.84,44,1,1,1
CUST_83,65,14,29.75,2843.57,Month-to-month,Cash,Fiber Optic,0,51.74,26,1,0,1
CUST_84,32,3,105.33,5480.3,Month-to-month,Bank Transfer,DSL,5,60.7,5,1,0,1
CUST_85,25,58,52.82,3045.72,Month-to-month,Bank Transfer,Fiber Optic,3,45.6,33,1,0,0
CUST_86,31,55,25.38,1249.98,One year,Bank Transfer,No,3,19.98,40,1,0,0
CUST_87,40,4,86.94,3308.27,Month-to-month,Bank Transfer,DSL,6,92.25,5,1,0,1
CUST_88,57,24,43.13,990.12,Month-to-month,Credit Card,Fiber Optic,2,56.98,36,0,1,0
CUST_89,38,34,44.36,4657.38,One year,Cash,Fiber Optic,7,73.18,13,1,0,1
CUST_90,33,30,50.6,423.52,One year,Bank Transfer,Fiber Optic,2,63.97,17,0,1,0
CUST_91,62,19,26.37,4265.83,Month-to-month,Credit Card,No,0,99.81,13,0,1,1
CUST_92,35,31,37.71,7102.31,Month-to-month,Credit Card,No,3,46.17,25,1,1,0
CUST_93,64,60,20.51,6719.2,One year,Cash,Fiber Optic,2,43.07,2,1,1,0
CUST_94,41,60,64.54,7073.98,Two year,UPI,Fiber Optic,4,36.65,24,0,1,0
CUST_95,43,19,28.43,7384.19,One year,UPI,Fiber Optic,4,36.8,36,1,0,1
CUST_96,42,49,88.27,925.77,Two year,UPI,Fiber Optic,7,28.3,25,0,0,1
CUST_97,62,63,43.56,1117.1,One year,Bank Transfer,DSL,4,98.08,34,0,0,1
CUST_98,58,22,114.36,4500.35,One year,Cash,No,7,87.21,12,0,0,1
CUST_99,46,24,107.13,7162.38,Month-to-month,UPI,Fiber Optic,4,32.35,19,1,0,1
CUST_100,32,30,48.94,7797.36,Month-to-month,Bank Transfer,DSL,7,31.22,42,0,0,1
CUST_101,62,58,98.32,465.47,Month-to-month,Cash,DSL,7,11.25,30,0,0,1
CUST_102,18,31,100.32,2910.62,Month-to-month,Bank Transfer,No,7,87.83,37,0,1,1
CUST_103,42,64,118.66,1781.86,Month-to-month,UPI,DSL,3,37.8,43,0,0,1
CUST_104,24,19,79.78,6072.13,Month-to-month,UPI,Fiber Optic,4,57.69,1,0,0,1
CUST_105,26,48,28.2,5157.53,One year,Credit Card,DSL,3,90.14,3,0,0,0
CUST_106,41,45,84.68,1047.12,Month-to-month,Credit Card,DSL,6,41.4,26,0,0,1
CUST_107,18,55,82.5,3919.82,Month-to-month,Cash,DSL,0,80.88,15,1,0,0
CUST_108,61,55,83.84,5514.98,Two year,Bank Transfer,Fiber Optic,7,43.6,28,0,0,1
CUST_109,25,18,50.71,6254.14,Month-to-month,Bank Transfer,DSL,0,70.39,4,1,1,0
CUST_110,41,63,105.97,258.42,Month-to-month,UPI,Fiber Optic,4,43.69,19,0,0,1
CUST_111,28,47,115.95,7134.71,Month-to-month,UPI,Fiber Optic,4,39.88,24,0,1,1
CUST_112,68,57,41.77,4597.32,Two year,Cash,Fiber Optic,4,99.08,40,1,0,0
CUST_113,34,45,28.82,6514.08,Month-to-month,Credit Card,Fiber Optic,7,61.62,6,1,1,1
CUST_114,25,33,39.45,6482.71,One year,UPI,Fiber Optic,0,37.37,16,1,0,0
CUST_115,52,17,102.06,1599.84,Month-to-month,Bank Transfer,Fiber Optic,2,26.52,32,0,1,1
CUST_116,52,70,87.66,970.36,Month-to-month,UPI,Fiber Optic,0,4.94,30,1,1,1
CUST_117,50,4,83.6,5798.17,Month-to-month,Credit Card,Fiber Optic,4,70.95,35,1,0,1
CUST_118,22,20,60.18,1335.77,One year,Bank Transfer,No,2,37.84,8,1,0,0
CUST_119,59,47,77.78,6814.51,Two year,Credit Card,Fiber Optic,7,82.3,5,1,0,0
CUST_120,56,15,50.79,5836.9,One year,Cash,DSL,2,37.02,37,0,0,0
CUST_121,58,70,67.72,6750.42,One year,Cash,Fiber Optic,1,37.96,12,0,0,0
CUST_122,45,47,99.31,2462.2,Month-to-month,Credit Card,DSL,6,78.14,25,1,0,1
CUST_123,24,9,118.12,2601.12,One year,Bank Transfer,DSL,3,49.46,33,0,1,1
CUST_124,26,16,113.25,5402.65,Month-to-month,Credit Card,Fiber Optic,6,88.6,39,1,0,1
CUST_125,25,69,113.39,348.42,One year,UPI,Fiber Optic,4,59.42,24,0,0,1
CUST_126,29,61,60.22,5839.32,Month-to-month,UPI,Fiber Optic,3,24.82,11,1,1,0
CUST_127,51,10,66.88,6702.69,Month-to-month,Credit Card,No,1,57.26,42,0,1,1
CUST_128,50,50,90.56,3379.79,Month-to-month,UPI,Fiber Optic,3,1.4,35,0,1,1
CUST_129,65,3,112.22,6142.54,Month-to-month,Credit Card,DSL,4,31.93,40,1,0,1
CUST_130,40,70,34.2,1479.43,Month-to-month,UPI,No,1,21.59,1,0,0,0
CUST_131,41,51,50.42,2645.86,One year,Credit Card,Fiber Optic,3,65.76,8,0,1,0
CUST_132,54,19,33.92,7797.01,Month-to-month,UPI,Fiber Optic,7,14.47,23,0,0,0
CUST_133,52,42,81.2,7891.99,Month-to-month,Bank Transfer,Fiber Optic,0,29.72,20,1,0,0
CUST_134,61,35,50.63,4149.58,One year,Bank Transfer,No,2,33.8,32,1,0,0
CUST_135,57,46,52.61,7480.73,Month-to-month,UPI,DSL,6,1.33,11,1,1,1
CUST_136,39,26,27.09,4229.57,One year,Credit Card,DSL,1,5.63,7,1,0,0
CUST_137,44,69,54.98,2403.55,One year,UPI,Fiber Optic,0,31.8,30,0,1,0
CUST_138,52,64,106.25,2208.5,Two year,Cash,Fiber Optic,4,23.01,39,0,0,1
CUST_139,18,37,43.31,7443.1,One year,Cash,Fiber Optic,2,12.57,13,0,0,0
CUST_140,52,49,89.52,1462.33,Month-to-month,Credit Card,DSL,6,16.26,42,1,0,1
CUST_141,54,21,82.96,4679.1,Month-to-month,UPI,DSL,1,83.72,3,1,0,0
CUST_142,64,64,106.35,4488.65,Month-to-month,UPI,Fiber Optic,2,68.65,7,0,1,1
CUST_143,31,5,33.23,5943.01,Two year,Bank Transfer,DSL,5,48.93,43,0,1,1
CUST_144,20,70,117.76,4044.02,Month-to-month,Credit Card,DSL,7,90.98,13,0,0,1
CUST_145,18,4,78.26,2251.06,Month-to-month,Cash,DSL,5,3.93,37,0,1,1
CUST_146,22,39,119.55,1438.23,Month-to-month,Cash,DSL,1,35.15,25,0,1,1
CUST_147,43,35,111.15,5004.47,Two year,Credit Card,Fiber Optic,1,82.51,23,0,0,1
CUST_148,31,1,42.15,5780.03,Month-to-month,Cash,Fiber Optic,3,63.2,33,0,1,1
CUST_149,56,24,25.62,4599.22,Two year,Credit Card,DSL,2,98.19,5,1,1,0
CUST_150,44,57,45.56,5932.98,Month-to-month,Cash,DSL,5,94.51,32,0,0,1
CUST_151,26,70,72.76,1218.02,Month-to-month,Cash,Fiber Optic,6,17.82,30,1,0,1
CUST_152,32,41,37.16,7071.51,Month-to-month,Credit Card,DSL,5,97.23,31,0,0,1
CUST_153,32,54,36.75,4700.92,Two year,Credit Card,Fiber Optic,2,94.61,13,1,0,0
CUST_154,43,46,66.26,1102.07,Two year,Cash,Fiber Optic,5,37.99,42,0,0,0
CUST_155,59,60,23.33,3749.21,Month-to-month,Cash,No,6,98.31,5,1,0,1
CUST_156,30,60,32.19,6773.85,Month-to-month,Bank Transfer,Fiber Optic,0,4.55,23,0,1,0
CUST_157,68,57,61.59,7190.74,One year,UPI,Fiber Optic,7,66.41,1,0,0,0
CUST_158,49,31,26.31,2190.73,Month-to-month,Credit Card,Fiber Optic,5,27.35,10,1,0,1
CUST_159,56,24,59.68,5719.0,Month-to-month,Credit Card,DSL,7,13.82,27,1,1,1
CUST_160,66,36,67.4,889.88,Month-to-month,UPI,DSL,5,58.18,8,0,0,1
CUST_161,69,30,65.13,365.01,Month-to-month,Bank Transfer,DSL,4,31.33,3,0,1,0
CUST_162,49,24,106.92,4527.15,Month-to-month,Cash,Fiber Optic,0,67.02,19,0,1,0
CUST_163,21,30,73.01,5589.14,Month-to-month,Cash,DSL,3,54.46,2,1,1,0
CUST_164,47,7,66.8,6386.72,Month-to-month,Bank Transfer,DSL,1,39.87,31,1,1,0
CUST_165,54,35,61.07,2787.71,Two year,Bank Transfer,Fiber Optic,6,19.0,10,0,0,1
CUST_166,40,55,101.76,151.55,Month-to-month,UPI,No,5,60.52,16,0,0,1
CUST_167,56,14,109.51,3888.2,One year,UPI,DSL,6,83.09,37,1,1,1
CUST_168,62,10,105.32,225.24,Month-to-month,Cash,Fiber Optic,3,60.4,20,0,1,1
CUST_169,32,16,87.35,826.68,One year,Bank Transfer,DSL,3,61.44,3,1,0,0
CUST_170,60,54,33.74,2680.84,Month-to-month,Bank Transfer,No,0,51.67,35,1,0,0
CUST_171,46,70,47.69,3553.66,One year,Cash,DSL,6,39.44,34,1,1,0
CUST_172,53,44,24.61,2307.81,Month-to-month,Cash,No,1,46.29,21,0,0,0
CUST_173,30,45,113.08,4696.74,Two year,Cash,DSL,4,98.96,36,1,0,0
CUST_174,49,56,86.08,537.26,Month-to-month,Cash,Fiber Optic,3,75.22,32,0,1,0
CUST_175,24,57,94.64,1242.18,Month-to-month,Cash,DSL,4,43.63,18,1,0,1
CUST_176,68,21,51.16,5592.54,Two year,UPI,DSL,1,46.27,34,1,0,0
CUST_177,39,68,104.57,1222.91,One year,Cash,DSL,1,50.46,38,1,0,0
CUST_178,45,50,45.96,5154.22,Month-to-month,Bank Transfer,DSL,7,66.27,3,1,1,1
CUST_179,19,33,20.16,532.01,Two year,Credit Card,Fiber Optic,0,47.13,3,0,0,0
CUST_180,59,7,57.64,3318.32,Month-to-month,UPI,Fiber Optic,6,68.93,27,1,0,1
CUST_181,62,70,77.08,1501.53,Month-to-month,Bank Transfer,Fiber Optic,2,33.59,2,0,0,0
CUST_182,23,15,67.87,966.13,Two year,Credit Card,No,6,41.65,3,1,0,0
CUST_183,45,32,106.21,4579.56,Month-to-month,UPI,Fiber Optic,5,86.54,17,0,0,1
CUST_184,45,20,30.54,7433.85,Two year,Cash,No,0,33.56,39,0,0,0
CUST_185,61,15,75.38,532.82,Month-to-month,UPI,DSL,6,96.48,38,0,0,1
CUST_186,61,48,71.3,3430.28,One year,Cash,No,4,18.08,40,0,1,1
CUST_187,37,71,48.14,5689.53,Month-to-month,Cash,DSL,7,24.93,19,1,1,0
CUST_188,47,21,102.22,3755.23,Two year,Cash,Fiber Optic,6,46.9,19,1,1,0
CUST_189,28,42,95.28,6471.32,One year,Credit Card,Fiber Optic,0,79.94,44,1,1,1
CUST_190,45,26,93.29,1519.2,Month-to-month,UPI,Fiber Optic,1,73.43,5,0,0,1
CUST_191,42,14,107.62,7680.79,One year,Cash,Fiber Optic,7,18.27,5,0,1,1
CUST_192,56,57,92.28,3142.78,Month-to-month,Bank Transfer,Fiber Optic,3,24.43,14,1,1,0
CUST_193,50,37,43.18,2798.4,One year,UPI,No,7,57.95,27,0,0,1
CUST_194,18,58,90.56,7009.39,Two year,Bank Transfer,No,7,30.22,36,1,0,1
CUST_195,44,21,50.77,4554.55,Month-to-month,Credit Card,No,5,42.81,40,0,0,1
CUST_196,69,69,44.22,4179.91,One year,Credit Card,No,5,49.17,35,1,0,0
CUST_197,30,3,27.3,5843.13,Month-to-month,UPI,Fiber Optic,2,59.83,21,1,0,0
CUST_198,58,37,94.4,4680.69,Month-to-month,Credit Card,No,1,25.85,5,1,0,1
CUST_199,20,49,91.1,1383.87,Month-to-month,Credit Card,No,5,17.15,24,1,1,1
CUST_200,56,19,43.45,5426.16,One year,UPI,Fiber Optic,7,40.46,39,1,1,0
CUST_201,23,12,94.94,1154.4,Month-to-month,Bank Transfer,Fiber Optic,5,9.12,24,1,0,1
CUST_202,25,61,111.78,6466.28,One year,Cash,No,3,53.15,40,0,0,1
CUST_203,44,41,30.8,7918.92,Month-to-month,UPI,Fiber Optic,4,84.12,43,0,1,1
CUST_204,26,33,43.26,3081.36,One year,UPI,Fiber Optic,4,12.78,13,1,1,0
CUST_205,54,50,95.03,3613.57,Month-to-month,Cash,DSL,4,12.16,38,1,0,1
CUST_206,50,68,47.45,466.83,Two year,Bank Transfer,Fiber Optic,0,8.94,1,1,1,0
CUST_207,68,71,82.47,208.49,Month-to-month,Cash,No,4,84.94,43,1,0,1
CUST_208,59,33,28.12,7379.21,Month-to-month,Cash,Fiber Optic,4,8.99,39,0,0,1
CUST_209,61,24,65.22,1116.13,Month-to-month,Bank Transfer,DSL,0,98.36,10,1,1,1
CUST_210,41,61,93.91,3621.65,One year,Bank Transfer,DSL,7,36.47,2,0,1,1
CUST_211,32,61,88.65,6541.3,Month-to-month,Cash,Fiber Optic,7,33.55,16,1,1,1
CUST_212,49,28,101.51,7125.62,One year,Cash,DSL,7,10.07,37,0,0,1
CUST_213,49,58,107.75,4203.24,Month-to-month,UPI,Fiber Optic,3,58.98,16,0,1,1
CUST_214,41,43,97.32,4563.76,One year,Bank Transfer,No,1,59.0,23,0,0,1
CUST_215,58,41,87.16,5390.5,Month-to-month,Credit Card,Fiber Optic,5,49.89,26,1,0,1
CUST_216,69,39,23.17,7694.92,Month-to-month,Bank Transfer,Fiber Optic,2,31.79,16,1,0,1
CUST_217,66,49,73.5,4861.09,Month-to-month,Cash,No,5,37.49,27,1,0,1
CUST_218,66,17,23.77,4519.85,Month-to-month,Cash,Fiber Optic,7,32.73,41,0,0,1
CUST_219,69,70,100.81,214.82,Month-to-month,Cash,DSL,7,43.19,30,0,1,1
CUST_220,29,70,52.07,739.5,Two year,Cash,Fiber Optic,4,34.84,33,1,1,1
CUST_221,56,65,76.24,4659.66,Two year,Credit Card,Fiber Optic,4,67.88,32,0,0,1
CUST_222,19,5,47.94,7496.3,One year,Bank Transfer,Fiber Optic,6,30.28,9,1,0,0
CUST_223,20,2,98.25,6946.86,Month-to-month,Credit Card,No,5,35.73,11,1,1,1
CUST_224,66,22,108.65,7862.37,Month-to-month,Credit Card,DSL,7,44.11,37,0,0,1
CUST_225,54,57,59.86,4269.89,One year,Cash,DSL,5,1.39,6,1,1,1
CUST_226,66,66,106.29,6324.65,Month-to-month,Credit Card,DSL,6,49.72,30,1,1,1
CUST_227,34,16,46.71,6739.16,Two year,Cash,Fiber Optic,4,26.33,40,1,1,0
CUST_228,66,51,73.47,5219.45,Month-to-month,Cash,Fiber Optic,7,6.56,15,1,0,1
CUST_229,19,39,105.88,2776.12,Two year,Cash,Fiber Optic,0,91.19,30,1,1,0
CUST_230,19,40,52.59,3812.83,Month-to-month,Credit Card,Fiber Optic,7,32.92,18,1,0,1
CUST_231,45,38,115.4,6877.54,One year,Cash,No,0,43.18,12,0,0,0
CUST_232,40,60,32.19,2458.53,Month-to-month,Credit Card,No,0,82.91,4,0,0,0
CUST_233,54,59,21.83,7397.57,Two year,Bank Transfer,DSL,2,17.51,16,0,0,0
CUST_234,49,10,110.41,1915.47,Month-to-month,Cash,Fiber Optic,1,85.18,23,0,0,1
CUST_235,50,64,26.86,6021.18,One year,UPI,Fiber Optic,4,24.92,11,0,1,0
CUST_236,18,63,119.19,5081.42,Two year,UPI,DSL,3,59.31,24,1,0,0
CUST_237,36,49,115.14,6021.84,Month-to-month,UPI,Fiber Optic,5,68.88,22,1,0,0
CUST_238,19,64,33.7,3555.05,Month-to-month,UPI,DSL,5,90.6,39,0,1,1
CUST_239,61,32,73.76,7467.86,Month-to-month,UPI,DSL,4,61.16,15,0,1,0
CUST_240,43,7,38.49,5096.53,Month-to-month,Credit Card,Fiber Optic,4,45.87,15,1,0,1
CUST_241,49,21,62.82,2377.54,Month-to-month,Bank Transfer,Fiber Optic,4,57.65,10,0,1,1
CUST_242,23,20,26.14,5143.8,Month-to-month,Credit Card,Fiber Optic,5,21.01,28,0,1,0
CUST_243,49,26,42.39,2365.84,Month-to-month,Cash,Fiber Optic,6,69.22,36,1,0,0
CUST_244,21,68,56.33,2419.7,One year,Bank Transfer,DSL,4,19.5,17,1,1,0
CUST_245,28,15,63.86,3256.83,One year,Bank Transfer,Fiber Optic,5,56.17,36,1,0,0
CUST_246,34,14,117.75,6834.2,Month-to-month,Bank Transfer,Fiber Optic,1,65.11,22,1,1,0
CUST_247,55,27,100.79,4052.35,Two year,Bank Transfer,Fiber Optic,3,89.96,23,0,1,0
CUST_248,41,40,93.74,5463.32,Two year,UPI,No,0,45.57,29,1,0,0
CUST_249,22,58,73.7,3196.55,Month-to-month,Cash,DSL,6,77.76,22,1,0,1
CUST_250,69,28,104.0,2182.48,Month-to-month,Bank Transfer,Fiber Optic,3,17.59,11,1,0,0
CUST_251,51,26,53.93,7641.66,Month-to-month,Bank Transfer,Fiber Optic,4,16.46,36,0,0,1
CUST_252,23,63,90.89,4868.29,One year,UPI,No,3,52.96,44,1,1,0
CUST_253,39,66,119.38,7478.22,One year,Credit Card,Fiber Optic,4,60.04,29,0,0,1
CUST_254,28,25,51.46,1706.96,Month-to-month,Credit Card,DSL,3,63.6,42,1,0,0
CUST_255,65,3,87.4,1260.46,One year,Credit Card,Fiber Optic,2,74.82,32,1,1,0
CUST_256,33,44,104.43,6861.0,Month-to-month,Cash,DSL,7,30.2,14,1,1,0
CUST_257,50,42,111.58,5479.25,Month-to-month,Credit Card,No,3,62.64,18,1,1,0
CUST_258,26,6,91.79,1573.97,One year,Bank Transfer,DSL,7,19.63,38,0,1,1
CUST_259,23,39,48.36,2227.94,One year,UPI,Fiber Optic,0,22.68,37,0,1,0
CUST_260,33,52,52.63,6425.25,Month-to-month,UPI,DSL,0,7.66,34,0,0,1
CUST_261,46,23,22.08,3685.56,Month-to-month,Credit Card,Fiber Optic,6,74.95,23,0,1,0
CUST_262,20,50,96.09,5397.27,Two year,UPI,No,3,51.19,32,0,0,0
CUST_263,37,43,24.27,2614.98,One year,Bank Transfer,No,5,24.58,3,1,1,0
CUST_264,53,19,106.47,3111.72,One year,Credit Card,DSL,7,56.07,43,0,0,1
CUST_265,36,69,31.87,7926.63,Month-to-month,Bank Transfer,Fiber Optic,5,36.07,22,0,1,1
CUST_266,43,51,37.19,2056.17,Month-to-month,Cash,DSL,5,83.88,23,1,0,1
CUST_267,20,11,67.65,4101.01,Month-to-month,Bank Transfer,Fiber Optic,3,53.29,4,1,0,1
CUST_268,36,12,93.79,6770.78,Month-to-month,Bank Transfer,DSL,5,3.95,13,1,0,1
CUST_269,37,8,33.9,1989.86,One year,Bank Transfer,DSL,1,98.52,32,1,0,0
CUST_270,49,24,64.01,3380.19,Month-to-month,Bank Transfer,Fiber Optic,3,8.36,29,1,0,1
CUST_271,24,41,68.29,4959.22,Month-to-month,Cash,DSL,0,69.9,40,0,0,0
CUST_272,69,36,41.23,3901.39,Month-to-month,Credit Card,Fiber Optic,7,44.29,40,1,1,1
CUST_273,58,55,31.56,3730.07,Month-to-month,Bank Transfer,DSL,6,25.68,10,0,0,1
CUST_274,50,9,103.64,2963.83,Two year,Credit Card,DSL,5,67.97,13,0,0,1
CUST_275,57,47,70.25,4734.51,One year,UPI,Fiber Optic,2,13.46,17,0,1,0
CUST_276,56,15,21.44,5032.54,Month-to-month,Bank Transfer,DSL,5,85.97,38,0,0,1
CUST_277,35,48,100.3,5260.99,One year,Bank Transfer,Fiber Optic,0,25.81,2,1,1,0
CUST_278,57,42,118.08,655.91,One year,UPI,Fiber Optic,1,36.78,17,1,0,0
CUST_279,18,60,80.59,5085.17,One year,Credit Card,Fiber Optic,3,63.63,44,0,0,0
